field,react,react_keys,angular1,angular1_trackby,angular2
MajorGC,19.44606647,25.30506646,350.1429998,37.95993331,226.6453332
MinorGC,177.2602,182.2920002,826.0959334,294.2647335,611.4778666
Layout,1326.5784,1389.182333,188.6908667,456.4142,326.7201999
Paint,589.3201997,643.241133,65.79066672,113.9474002,75.17513331
mean_frame_time,21.18682083,22.39215953,32.42716052,23.89294592,22.68074652
droppedFrameCount,580.8,610.8666667,580,526.8666667,612.2
NodePerLayout_avg,4104.995271,4105.975142,2775.30157,4932.940326,4822.442118
frames_per_sec,47.64216402,44.91169417,30.96547459,42.13392464,44.12802866
percentage_smooth,55.33545779,53.92429569,34.19642327,30.41614173,34.64310215
domReadyTime,32.6,32.46666667,396.4666667,586.6,32
Javascript,6910.841266,7397.915267,9619.426933,7672.945867,8424.902866
